Company_ID,Year,Scope1_tCO2e,Scope2_tCO2e,Scope3_tCO2e
0,2022,831000,276000,23100000
1,2022,51412.28,0,0
2,2022,5077,3694,144320
3,2022,43,59,15271
4,2023,406000,1433000,127371000
5,2021,6800000,376000,66200000
6,2021,231,2212,15792
7,2022,17300,20800,11900000
8,2022,37000000,2000000,0
9,2021,6177,24214,442215
10,2022,202290,161907,1696100
11,2022,1500000,1900000,447200000
12,2022,33700000,6700000,0
13,2023,1216,19079,0
14,2021,2175,38555,28414
15,2023,387000,163000,483188000
16,2023,1090000,2730000,284410000
17,2021,282199,48800,7437488
18,2022,53202.91,0,0
19,2021,44016,50899,1471
20,2022,19700,5400,11245000
21,2022,694057,91300,116586786
22,2020,0,0,0
23,2020,6748,20008,0
24,2022,9100,5800,0
25,2022,136736,382819,32260185
26,2023,57175391,8182542,38190000
27,2022,26864,86780,0
28,2021,211000,984000,16160000
29,2020,4505000,671000,0
30,2022,11927119,1879381,42013976
31,2022,3220,9523,80964
32,2022,492000,194000,8328000
33,2021,15300000,3100000,0
34,2022,12417,27228,0
35,2022,246126,254335,2882063
36,2020,62860000,10846000,0
37,2022,386375,150429,4470633
38,2021,771816,406258,0
39,2021,533000,397000,0
40,2022,0,0,0
41,2022,23280,39370,167549
42,2023,16,67,6356
43,2022,212000,21000,12300000
44,2022,8300000,70000,28090000
45,2021,10000,8000,7000
46,2023,27967,18374,659891
47,2022,18000,13300,609600
48,2022,41826,10132,83875951
49,2021,573000,979000,0
50,2021,167,13899,114131
51,2022,177299,226431,0
52,2022,16273000,23033000,22134000
53,2022,418751,379032,0
54,2022,21967,30917,81535
55,2021,5082,47569,0
56,2022,11232,0,17233485
57,2022,581,1220,0
58,2022,14018,83912,1837925
59,2022,1823000,1014000,62974000
60,2020,5849,46,192375
61,2022,108453,636855,299478
62,2022,7435,25511,0
63,2022,41395,11571,37026
64,2021,123766,2847126,18266748
65,2022,1196,7512,281002
66,2023,1520000,1270000,3730000
67,2022,14718,0,0
68,2020,115407,363233,4215127
69,2021,51570000,7110000,69150000
70,2022,862,2,47221
71,2022,8400000,1400000,21300000
72,2021,47598,19677,6015
73,2022,317143,508459,28431587
74,2022,2132,14973,3010457
75,2022,793343,174584,0
76,2022,477261.54,0,0
77,2022,193000,4909000,106400000
78,2021,697851,1541276,127735901
79,2022,81376,2363,0
80,2023,95448,49868,0
81,2021,633000,420000,3473000
82,2022,124000,135300,39454200
83,2022,119617,109730,60952497
84,2021,28699,54689,55359
85,2022,1711000,1370000,109688000
86,2022,824,9041,27916
87,2021,9350000,35988000,350419000
88,2022,43085,13470,0
89,2023,232381,30842,4526209
90,2022,13998,565921,9368649
91,2022,4460000,2110000,395620000
92,2020,11650054.83,49444.52,1623678.31
93,2020,23608,141354,76985
94,2021,24408,0,0
95,2021,0,0,0
96,2021,16749,4900,0
97,2023,3650000,844000000,392515000
98,2022,41376,40589,141111
99,2022,1315,4150,12690
